	Unnamed: 0	round	batch	sent_id	sentence	worker_0	worker_1	worker_2	worker_3	worker_4	worker_5	worker_6	worker_7	disagree	agree	neutral	guid	in_held_out_test	stance	stance_id
480	480	2	2	t5	The world will experience a rise in sea level of several feet.	agrees	neutral	neutral	neutral	agrees	neutral	agrees	neutral	0.0037477818218689	0.2851247873242693	0.7111274308538617	2_2_t5	False	neutral	1
481	481	2	2	t6	Global warming will further destabilize already-volatile parts of the world and should be considered in national security planning.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007828626846943	0.998214727910896	0.0010024094044096	2_2_t6	False	agree	2
482	482	2	2	t7	They are on the verge of passing climate legislation at home and a global carbon accord at the Copenhagen talks.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0008797864509648	0.0011025851887492	0.9980176283602858	2_2_t7	False	neutral	1
484	484	2	2	t9	Global warming has caused and will continue to cause a significant increase in extreme weather events, including hurricanes, and sea levels will eventually rise to the point that massive cities will someday be flooded and uninhabitable.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0008259594463102	0.9981709942067752	0.0010030463469144	2_2_t9	False	agree	2
490	490	2	3	t0	People worry a great deal about global warming.	neutral	neutral	agrees	neutral	neutral	neutral	neutral	disagrees	0.0352909445676429	0.0141919635605561	0.9505170918718008	2_3_t0	False	neutral	1
491	491	2	3	t1	The CO2 emitted by burning fossil fuel is the greenhouse gas that causes global warming.	agrees	neutral	neutral	agrees	neutral	neutral	agrees	agrees	0.0033789527671856	0.6670819683505967	0.3295390788822177	2_3_t1	False	agree	2
493	493	2	3	t11	This is about economic migration and about political instability, not about global warming.	disagrees	disagrees	disagrees	disagrees	disagrees	neutral	neutral	disagrees	0.8911618726751728	0.003034871749012	0.1058032555758152	2_3_t11	False	disagree	0
494	494	2	3	t12	Man-made global warming may further lessen the likelihood of the freak atmospheric steering currents that last year shoved Superstorm Sandy due west into New Jersey.	agrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	0.9625635172779264	0.0258751385684717	0.0115613441536019	2_3_t12	False	disagree	0
495	495	2	3	t13	Arctic sea ice has officially reached its minimum extent for the summer, shrinking to 5.1 million square kilometers.	agrees	neutral	agrees	neutral	neutral	neutral	neutral	agrees	0.0032423752543486	0.2843539617624119	0.7124036629832394	2_3_t13	False	neutral	1
496	496	2	3	t14	Global warming is affecting the weather.	agrees	agrees	neutral	neutral	neutral	neutral	agrees	agrees	0.0025988401937122	0.8537206566975291	0.1436805031087587	2_3_t14	False	agree	2
497	497	2	3	t15	The United States should undertake an either medium-or large-scale effort to cut down global warming.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees	0.0004454824398935	0.998837109836086	0.0007174077240204	2_3_t15	False	agree	2
498	498	2	3	t16	Some of wind's climate impacts will be beneficial — several global studies show that wind power cools polar regions.	disagrees	neutral	neutral	disagrees	neutral	neutral	neutral	agrees	0.0730343081423234	0.0496384082278533	0.8773272836298232	2_3_t16	False	neutral	1
499	499	2	3	t17	I believe there will not be an oil spill from Shell’s Arctic drilling, and they should proceed full speed ahead.	neutral	neutral	disagrees	disagrees	neutral	neutral	disagrees	disagrees	0.5573598395769447	0.004150584740298	0.4384895756827573	2_3_t17	False	disagree	0
500	500	2	3	t18	It gives us a dangerous climate that we make safe, above all, by using energy from fossil fuels.	agrees	neutral	disagrees	neutral	neutral	agrees	disagrees	disagrees	0.6397428690229486	0.1991276589998936	0.1611294719771577	2_3_t18	False	disagree	0
501	501	2	3	t19	Humans are changing the seas 10 times faster than at this catastrophic event.	agrees	agrees	agrees	disagrees	neutral	agrees	agrees	agrees	0.0026803246263661	0.9906515681334516	0.0066681072401823	2_3_t19	False	agree	2
502	502	2	3	t2	Global warming would affect the planet first in the Arctic.	agrees	neutral	neutral	neutral	agrees	neutral	agrees	agrees	0.0028065393462709	0.8243642740726381	0.1728291865810908	2_3_t2	False	agree	2
503	503	2	3	t20	There is “ no reproducible evidence ” that carbon dioxide levels have increased over the past century.	disagrees	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	0.9928758808249218	0.0011775708991747	0.0059465482759033	2_3_t20	False	disagree	0
